"","AZUAY","BOLIVAR","CAÑAR","CARCHI","CHIMBORAZO","COTOPAXI","EL ORO","ESMERALDAS","GALAPAGOS","GUAYAS","IMBABURA","LOJA","LOS RIOS","MANABI","MORONA SANTIAGO","NAPO","ORELLANA","PASTAZA","PICHINCHA","SANTA ELENA","SANTO DOMINGO DE LOS TSACHILAS","SUCUMBIOS","TUNGURAHUA","ZAMORA CHINCHIPE"
"19",171212.007411454,15853.276258494,33782.101027309,19139.419494413,52288.5366833382,53270.0310769274,106486.71208404,50049.2520521678,8111.6153599438,796336.725007324,62149.2668481817,63072.3748252877,73985.3356565735,170927.729237653,14245.1619192252,12846.123682923,20189.882628987,11840.2873866201,1074965.30819258,28138.4738492415,53804.4957983193,24683.2629501644,91249.6566670937,15542.7617988633
"20",171821.962197994,16350.6553824448,33809.5600922379,19219.0975639755,52472.4422126401,53495.2324429286,107061.930287956,50245.6003070324,8178.81005266889,799586.650476741,62395.275736926,63321.9156285721,74445.23797211,172977.17272419,14564.4116207762,12905.0344357763,20332.7594614295,11891.8226953322,1083113.75681868,28342.4713181867,54194.1008403361,24598.4494757156,91649.2177317882,15622.2664298407
"21",172390.088523656,16415.9948093295,34921.0746295178,19298.775633538,52665.4476184659,53720.4338089298,107637.148491871,50444.9573531392,8238.98130361682,802836.575946157,62640.0474146677,63571.4564318566,74905.1402876465,172450.258621947,14700.9376856735,12963.9919487108,20471.5032184992,11943.3580040443,1088968.75195463,28546.4687871319,54583.7058823529,24948.9135151162,92048.7787964827,15701.7399066388
"22",173026.883936015,16721.1480981149,35346.7786939731,19378.4537031005,52869.1200382753,53945.6351749309,108212.366695787,50646.0584819189,8299.7187874585,806086.501415573,62882.6973957097,63820.997235141,75365.042603183,174737.658232404,14782.5904541919,13022.9303414057,20612.6351273653,11994.8933127564,1093761.48745632,28750.4662560771,54973.3109243697,25102.4807807274,92448.3398611772,15781.2012414613
"23",173606.478078318,16783.6743612724,35386.0483843052,19458.131772663,53073.5489051875,54170.8365409321,108787.584899702,50848.1705895684,8356.73170951389,809336.42688499,63124.5295494416,64070.5380384254,75824.9449187195,175713.069624779,14889.8115213241,13081.8765523839,20752.3871269657,12046.4286214685,1098223.54569509,28954.4637250223,55362.9159663866,25039.0518380433,92847.9009258716,15860.6578440914
"24",174207.080457245,15816.6559958029,33540.6220779414,19537.8098422255,53272.2864634957,54396.0379069333,109362.803103618,51050.8687234946,8409.74378765153,812586.352354406,63366.6303310033,64320.0788417098,76284.847234256,174154.323684932,14819.737773957,13140.8195664589,20892.9364584545,12097.9639301806,1099041.5598564,29158.4611939675,55752.5210084034,24836.406701879,93247.4619905661,15940.112602405
"25",174825.154643468,16099.9688592197,32817.8607889001,19617.487911788,53467.4035563716,54621.2392729344,109938.021307533,51253.9065547255,8468.65465612504,815836.277823823,63609.1806510421,64569.6196449942,76744.7495497925,175141.072878677,14927.1042898815,13199.7638877506,21033.02507984,12149.4992388927,1105343.14091502,29362.4586629127,56142.1260504202,25045.9379777824,93647.0230552606,16019.5666419179
"26",175403.747579494,15813.2468318873,33000.7767605045,19697.1659813505,53663.7559301375,54846.4406389356,110513.239511449,51457.1412956571,8526.7319133529,819086.203293239,63851.9019754188,64819.1604482786,77204.651865329,175722.864874981,14993.9465749016,13258.7076745201,21173.3799063057,12201.0345476048,1108714.20731255,29566.4561318579,56531.731092437,25120.2206326721,94046.584119955,16099.0204012867
"27",176020.408545086,16689.1422463193,33169.1138997734,19776.844050913,53862.8754320008,55071.6420049368,111088.457715364,51660.4901777069,8585.66124398824,822336.128762655,64094.5650296173,65068.701251563,77664.5541808655,176667.868597771,15060.7888599216,13317.6516798563,21313.5809155571,12252.5698563168,1113806.40264637,29770.4536008031,56921.3361344538,25182.6443255114,94446.1451846495,16178.4740514726
"28",176618.190632193,16865.4175275334,32912.3488449467,19856.5221204756,54062.8362526608,55296.8433709379,111663.67591928,51863.9052230531,8644.05373813513,825586.054232072,64337.1328434424,65318.2420548474,78124.456496402,177350.711362203,15127.6311449417,13376.5955958204,21453.8708026593,12304.1051650289,1117476.14204631,29974.4510697483,57310.9411764706,25270.3278045964,94845.706249344,16257.9276591058
"29",177210.774396953,16640.8709288624,33168.8869566516,19936.2001900381,54261.6819076731,55522.0447369391,112238.894123195,52067.3586207639,8703.13031498746,828835.979701488,64579.6649096882,65567.7828581318,78584.3588119385,178250.471202526,15194.4734299617,13435.5395483288,21594.1093348309,12355.640473741,1122321.49405793,30178.4485386935,57700.5462184874,25350.2332825778,95245.2673140384,16337.3812501545
"30",177825.050598726,16946.0559553774,33577.6078515303,20015.8782596006,54459.4208419868,55747.2461029403,112814.112327111,52270.8342498924,8762.67120323125,832085.905170904,64822.2096067822,65817.3236614162,79044.261127475,180171.660622363,15261.3157149818,13494.4834858942,21734.3775406374,12407.1757824531,1126195.24126984,30382.4460076387,58090.1512605042,25429.2180018662,95644.8283787329,16416.8348347396
"31",178414.944487969,16545.1760101594,35759.8739331547,20095.5563291631,54657.1793414413,55972.4474689415,113389.330531026,52474.3227657341,8821.07225611923,835335.830640321,65064.7744798867,66066.8644647006,79504.1634430115,181041.045322173,15328.1580000019,13553.4274295698,21874.6286005809,12458.7110911652,1130871.9875968,30586.4434765839,58479.756302521,25509.7461046805,96044.3894434274,16496.2884168057
